REGION_NAME,REGION_ID
Rose_Atoll,#dbdae5
Ashmore_and_Cartier_Islands,#8a23ba
Mingəçevir,#30d534
Naftalan,#42e765
Shirvan,#f4f9f7
Şuşa_City,#f9f7fa
Al_Muḩarraq,#ddfae1
Rum_Cay,#009582
Bimini,#050207
Ragged_Island,#453618
City_of_Freeport,#534448
Spanish_Wells,#748b8a
Harbour_Island,#b4b4b3
Moore_s_Island,#eff9ea
City_of_Saint_George,#0dba97
Smith_s,#227131
Hamilton,#541b6e
Paget,#9bc06f
Southampton,#a2b677
City_of_Hamilton,#fcf3f6
Lobatse,#3e443b
San_Andrés_y_Providencia,#055e35
Comunidad_de_Madrid,#d487db
Eastern,#235433
Northern,#fda8c2
Southend-on-Sea,#cc139a
Bono,#74159f
Labé,#055102
Annobón,#a8de25
Wan_Chai,#080c05
Sham_Shui_Po,#2b3b1c
Kwun_Tong,#6d5d58
Kowloon_City,#f67ddb
Yau_Tsim_Mong,#fbb4fd
Central_and_Western,#fcfaf5
Lakshadweep,#545353
Rēzekne,#07022b
Haa_Alifu,#030203
Faafu,#13222c
Kaafu,#151012
Gaafu_Dhaalu,#340b4e
Thaa,#3a9f78
Addu,#461d4a
Raa,#4a1c07
Baa,#80355a
Meemu,#8b9469
Dhaalu,#98f9df
Shaviyani,#a5f6c5
Gnaviyani,#c7729e
Lhaviyani,#efad90
Alifu_Dhaalu,#f0f9c8
Gaafu_Alifu,#f3f5f6
Noonu,#fcfbfb
Railik_Chain,#a5307d
Agaléga,#2a8f42
Port_Louis_city,#f3fefe
Bagmati,#7d60fd
Lumbini,#b4f8a7
Aiwo,#050710
Meneng,#094e43
Baiti,#372974
Uaboe,#3b423e
Buada,#4d1a33
Ijuw,#78b7a2
Anabar,#8c8c8b
Denigomodu,#b7776c
Nibok,#cad2c5
Ewa,#cfccd1
Yaren,#d5d0d9
Boe,#e6eac9
Three_Kings_Islands,#561d43
Kermadec_Islands,#7e4747
San_Juan,#060801
Marikina,#1e3e45
Apayao,#74169f
Sonsorol,#232128
Aimeliik,#2c14bd
Melekeok,#313c39
Angaur,#66bc21
Airai,#7183a8
Tuamotu_Gambier,#845f69
North_East,#cdd2d4
Sint_Maarten,#d8b5d3
Bel_Ombre,#000007
English_River,#070826
Mont_Buxton,#0b8e7a
Grand_Anse,#0c33f7
Roche_Caïman,#2a8b99
Baie_Lazare,#300b29
Beau_Vallon,#3e7413
Glacis,#4c1734
Cascade,#57584d
Pointe_La_Rue,#75aa75
Anse_aux_Pins,#89dac2
Saint_Louis,#910a80
Anse_Boileau,#a19ac5
Takamaka,#b88ae3
La_Digue_and_Inner_Islands,#cbfaf5
Les_Mamelles,#cee2e5
Mont_Fleuri,#d70494
Plaisance,#fafbfa
Salt_Cay,#75446b
Tokelau,#191148
Chaguanas,#361b1f
Port_of_Spain,#bf86e7
Arima,#d07203
Tuvalu,#0f120f
Palmyra_Atoll,#0e3d0e
Howland_Island,#4a6a05
Wake_Atoll,#6bf6a9
Johnston_Atoll,#783431
Navassa_Island,#794f30
Jarvis_Island,#b1b4b4
Baker_Island,#c2a79f
Midway_Islands,#f7edda
Vatican,#afdf9c
Anzoátegui,#055101
Sigave,#a6b102
Alo,#d50279
